Episode:   500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 1.00
Episode:  1000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.98
Episode:  1500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.96
Episode:  2000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.95
Episode:  2500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.93
Episode:  3000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.91
Episode:  3500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.89
Episode:  4000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.87
Episode:  4500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.86
Episode:  5000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.84
Episode:  5500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.82
Episode:  6000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.80
Episode:  6500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.79
Episode:  7000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.77
Episode:  7500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.75
Episode:  8000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.73
Episode:  8500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.71
Episode:  9000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.70
Episode:  9500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.68
Episode: 10000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.66
Episode: 10500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.64
Episode: 11000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.62
Episode: 11500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.61
Episode: 12000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.59
Episode: 12500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.57
Episode: 13000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.55
Episode: 13500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.54
Episode: 14000, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.52
Episode: 14500, min reward: -200.0, average reward: -200.0, max reward: -200.0, current epsilon: 0.50
Episode: 15000, min reward: -200.0, average reward: -199.7, max reward: -178.0, current epsilon: 0.48
Episode: 15500, min reward: -200.0, average reward: -199.1, max reward: -164.0, current epsilon: 0.46
Episode: 16000, min reward: -200.0, average reward: -199.9, max reward: -191.0, current epsilon: 0.45
Episode: 16500, min reward: -200.0, average reward: -198.9, max reward: -166.0, current epsilon: 0.43
Episode: 17000, min reward: -200.0, average reward: -195.0, max reward: -161.0, current epsilon: 0.41
Episode: 17500, min reward: -200.0, average reward: -196.6, max reward: -162.0, current epsilon: 0.39
Episode: 18000, min reward: -200.0, average reward: -196.2, max reward: -159.0, current epsilon: 0.37
Episode: 18500, min reward: -200.0, average reward: -196.0, max reward: -158.0, current epsilon: 0.36
Episode: 19000, min reward: -200.0, average reward: -198.4, max reward: -161.0, current epsilon: 0.34
Episode: 19500, min reward: -200.0, average reward: -189.1, max reward: -154.0, current epsilon: 0.32
Episode: 20000, min reward: -200.0, average reward: -186.0, max reward: -151.0, current epsilon: 0.30
Episode: 20500, min reward: -200.0, average reward: -191.1, max reward: -152.0, current epsilon: 0.29
Episode: 21000, min reward: -200.0, average reward: -193.4, max reward: -154.0, current epsilon: 0.27
Episode: 21500, min reward: -200.0, average reward: -185.0, max reward: -148.0, current epsilon: 0.25
Episode: 22000, min reward: -200.0, average reward: -180.6, max reward: -154.0, current epsilon: 0.23
Episode: 22500, min reward: -200.0, average reward: -186.8, max reward: -124.0, current epsilon: 0.21
Episode: 23000, min reward: -200.0, average reward: -185.5, max reward: -136.0, current epsilon: 0.20
Episode: 23500, min reward: -200.0, average reward: -179.9, max reward: -151.0, current epsilon: 0.18
Episode: 24000, min reward: -200.0, average reward: -177.3, max reward: -124.0, current epsilon: 0.16
Episode: 24500, min reward: -200.0, average reward: -172.6, max reward: -119.0, current epsilon: 0.14
Episode: 25000, min reward: -200.0, average reward: -176.2, max reward: -148.0, current epsilon: 0.12
Episode: 25500, min reward: -200.0, average reward: -162.4, max reward: -114.0, current epsilon: 0.11
Episode: 26000, min reward: -200.0, average reward: -163.2, max reward: -117.0, current epsilon: 0.09
Episode: 26500, min reward: -200.0, average reward: -168.6, max reward: -146.0, current epsilon: 0.07
Episode: 27000, min reward: -200.0, average reward: -144.7, max reward: -110.0, current epsilon: 0.05
Episode: 27500, min reward: -198.0, average reward: -158.6, max reward: -116.0, current epsilon: 0.04
Episode: 28000, min reward: -200.0, average reward: -150.4, max reward: -116.0, current epsilon: 0.02
Episode: 28500, min reward: -169.0, average reward: -146.1, max reward: -111.0, current epsilon: 0.00
Episode: 29000, min reward: -200.0, average reward: -142.6, max reward: -114.0, current epsilon: 0.00
Episode: 29500, min reward: -200.0, average reward: -171.7, max reward: -146.0, current epsilon: 0.00
