Episode:   500, min reward: -200.0, average reward: -199.9, max reward: -194.3, current epsilon: 1.00
Episode:  1000, min reward: -200.0, average reward: -200.0, max reward: -198.9, current epsilon: 0.98
Episode:  1500, min reward: -200.0, average reward: -200.0, max reward: -199.0, current epsilon: 0.96
Episode:  2000, min reward: -200.0, average reward: -200.0, max reward: -198.6, current epsilon: 0.95
Episode:  2500, min reward: -200.0, average reward: -199.9, max reward: -197.6, current epsilon: 0.93
Episode:  3000, min reward: -200.0, average reward: -200.0, max reward: -199.3, current epsilon: 0.91
Episode:  3500, min reward: -200.0, average reward: -200.0, max reward: -197.9, current epsilon: 0.89
Episode:  4000, min reward: -200.0, average reward: -199.9, max reward: -197.8, current epsilon: 0.87
Episode:  4500, min reward: -200.0, average reward: -199.9, max reward: -198.2, current epsilon: 0.86
Episode:  5000, min reward: -200.0, average reward: -199.8, max reward: -197.5, current epsilon: 0.84
Episode:  5500, min reward: -200.0, average reward: -199.5, max reward: -196.8, current epsilon: 0.82
Episode:  6000, min reward: -200.0, average reward: -199.6, max reward: -195.1, current epsilon: 0.80
Episode:  6500, min reward: -200.0, average reward: -198.8, max reward: -192.8, current epsilon: 0.79
Episode:  7000, min reward: -200.0, average reward: -199.0, max reward: -195.4, current epsilon: 0.77
Episode:  7500, min reward: -200.0, average reward: -198.9, max reward: -193.8, current epsilon: 0.75
Episode:  8000, min reward: -200.0, average reward: -199.8, max reward: -194.9, current epsilon: 0.73
Episode:  8500, min reward: -200.0, average reward: -197.9, max reward: -186.4, current epsilon: 0.71
Episode:  9000, min reward: -200.0, average reward: -197.2, max reward: -185.2, current epsilon: 0.70
Episode:  9500, min reward: -200.0, average reward: -196.6, max reward: -189.0, current epsilon: 0.68
Episode: 10000, min reward: -200.0, average reward: -196.4, max reward: -188.6, current epsilon: 0.66
Episode: 10500, min reward: -200.0, average reward: -195.9, max reward: -186.4, current epsilon: 0.64
Episode: 11000, min reward: -200.0, average reward: -195.1, max reward: -186.4, current epsilon: 0.62
Episode: 11500, min reward: -199.9, average reward: -193.5, max reward: -180.9, current epsilon: 0.61
Episode: 12000, min reward: -199.8, average reward: -192.4, max reward: -181.2, current epsilon: 0.59
Episode: 12500, min reward: -199.1, average reward: -192.0, max reward: -177.8, current epsilon: 0.57
Episode: 13000, min reward: -198.3, average reward: -191.5, max reward: -181.1, current epsilon: 0.55
Episode: 13500, min reward: -198.4, average reward: -189.3, max reward: -174.1, current epsilon: 0.54
Episode: 14000, min reward: -197.5, average reward: -189.8, max reward: -176.8, current epsilon: 0.52
Episode: 14500, min reward: -199.1, average reward: -186.6, max reward: -161.5, current epsilon: 0.50
Episode: 15000, min reward: -197.8, average reward: -186.2, max reward: -146.9, current epsilon: 0.48
Episode: 15500, min reward: -195.8, average reward: -185.2, max reward: -161.7, current epsilon: 0.46
Episode: 16000, min reward: -198.7, average reward: -180.7, max reward: -146.8, current epsilon: 0.45
Episode: 16500, min reward: -198.1, average reward: -182.9, max reward: -138.9, current epsilon: 0.43
Episode: 17000, min reward: -196.0, average reward: -176.3, max reward: -135.9, current epsilon: 0.41
Episode: 17500, min reward: -194.6, average reward: -179.1, max reward: -140.5, current epsilon: 0.39
Episode: 18000, min reward: -194.0, average reward: -171.8, max reward: -137.1, current epsilon: 0.37
Episode: 18500, min reward: -195.6, average reward: -171.9, max reward: -141.8, current epsilon: 0.36
Episode: 19000, min reward: -193.3, average reward: -163.4, max reward: -108.5, current epsilon: 0.34
Episode: 19500, min reward: -189.0, average reward: -162.7, max reward: -134.1, current epsilon: 0.32
Episode: 20000, min reward: -190.9, average reward: -162.6, max reward: -136.2, current epsilon: 0.30
Episode: 20500, min reward: -184.0, average reward: -159.7, max reward: -134.8, current epsilon: 0.29
Episode: 21000, min reward: -193.0, average reward: -151.8, max reward: -104.1, current epsilon: 0.27
Episode: 21500, min reward: -192.9, average reward: -151.8, max reward: -103.1, current epsilon: 0.25
Episode: 22000, min reward: -180.1, average reward: -151.8, max reward: -102.5, current epsilon: 0.23
Episode: 22500, min reward: -187.4, average reward: -152.8, max reward: -105.3, current epsilon: 0.21
Episode: 23000, min reward: -193.6, average reward: -151.4, max reward: -128.6, current epsilon: 0.20
Episode: 23500, min reward: -185.0, average reward: -139.7, max reward: -98.7, current epsilon: 0.18
Episode: 24000, min reward: -184.0, average reward: -142.1, max reward: -103.2, current epsilon: 0.16
Episode: 24500, min reward: -177.1, average reward: -135.1, max reward: -100.1, current epsilon: 0.14
Episode: 25000, min reward: -185.0, average reward: -142.0, max reward: -104.4, current epsilon: 0.12
Episode: 25500, min reward: -189.5, average reward: -150.8, max reward: -130.0, current epsilon: 0.11
Episode: 26000, min reward: -181.7, average reward: -148.3, max reward: -104.4, current epsilon: 0.09
Episode: 26500, min reward: -179.6, average reward: -151.2, max reward: -131.6, current epsilon: 0.07
Episode: 27000, min reward: -200.0, average reward: -148.9, max reward: -102.1, current epsilon: 0.05
Episode: 27500, min reward: -194.5, average reward: -129.6, max reward: -98.1, current epsilon: 0.04
Episode: 28000, min reward: -177.2, average reward: -129.9, max reward: -99.6, current epsilon: 0.02
Episode: 28500, min reward: -178.0, average reward: -139.7, max reward: -103.5, current epsilon: 0.00
Episode: 29000, min reward: -167.8, average reward: -144.3, max reward: -128.3, current epsilon: 0.00
Episode: 29500, min reward: -190.0, average reward: -144.3, max reward: -130.1, current epsilon: 0.00
